company,total_applications,non_applied_rows
BYU Ballard Center for Social Impact,1,1
Engineering Inspections & Restoration Services,1,1
Consumers Energy,1,1
Chipotle,1,0
Brookfield Properties,1,1
Wholesale & Specialty Insurance Association,1,1
Skai,1,1
PNC Foundation,1,0
"University of California, Merced",1,1
Beam Suntory,1,1
Pulse Records,1,1
Accelerated Sales,1,0
Ferrazi Greenlight,1,1
Edge Corporation,1,1
University Of Illinois,1,1
Tencent,1,0
Yext,1,0
Nokia,1,1
Trimble Inc.,1,0
Credit Agricole CIB,1,0
MGM Resorts International,1,1
Indaba Capital Management,1,1
Athenahealth,1,0
Bahl & Gaynor Investment Counsel,1,1
University of Pennsylvania - The Wharton School,1,0
Equinix,1,1
Iowa State University,1,1
Dell Corp. Foundation,1,1
Revolt TV Network,1,1
Yale School of Management Executive Education,1,1
Hubbell Incorporated,1,0
Amtrak,1,1
Santa Clara University,1,1
Fortress Investment Group,1,1
Harvard Business School,1,1
LionTree LLC,1,1
Nylon Pie,1,1
City of Atlanta,1,1
Capstone Partners,1,1
El Gra de Blat NGO,1,1
Avanath Capital Management,1,1
NBC Sports Group,1,1
Houston Astros,1,0
RaiseDC,1,1
EAB,1,1
Federal Reserve of Cleveland,1,1
Amherst College,1,1
Egon Zehnder,1,1
Blue Kite Capital,1,1
Paycom,1,0
Stateless Collective,1,1
The Andrew W. Mellon Foundation,1,1
Highspot Inc.,1,1
Forvis,1,1
The Energy Business of Perella Weinberg Partners,1,0
Duck Creek Technologies,1,1
